iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
43,0.37999999999999967,0.6710832504931732,10,-10.128221029448307,5.421,12.821,58.322,-9.994174671324776,4.9,12.02,59.6,0.006692123808898031
44,0.36999999999999966,0.32458403735049374,15,-7.1775482812722755,5.007,11.704,59.823,-3.6430547891623024,3.76,9.06,63.68,0.007934105019085109
45,0.35999999999999965,0.09216256117234904,17,-4.341384505466517,4.427,10.119,61.22,-1.5212380790030327,3.36,7.16,64.26,0.008741981908679008
46,0.34999999999999964,0.05996396553222172,33,-1.8203792148173827,3.413,7.851,64.439,0.1161526323200002,1.86,3.96,67.82,0.008901285757310688
47,0.33999999999999964,-0.02939315895650719,15,-3.5099152639459312,4.145,9.536,61.01,-1.4044225163673598,2.56,6.9,60.72,0.009359690072014927
48,0.3299999999999996,-0.5311235342226899,14,-7.948086437882719,5.081,12.03,59.29,-4.669150010099379,3.88,9.82,62.34,0.010947652347385883
49,0.3199999999999996,-1.0347282264392204,13,-7.966354483795463,5.025,12.098,59.485,-4.775463816095329,4.38,10.28,62.08,0.012338553071022034
50,0.3099999999999996,-1.4467325985282835,19,-5.305279733943749,4.471,10.765,61.186,-3.2164606819883144,3.22,8.4,64.44,0.01276753205806017
51,0.2999999999999996,-1.6022413063948748,18,-8.167433418977836,5.002,12.136,59.619,-5.405335892372941,3.7,9.86,63.32,0.012899618968367577
52,0.2899999999999996,-1.6511413089577975,16,-6.912613561585543,4.698,11.537,60.083,-4.155634272309843,2.78,8.64,65.04,0.012749719386920332
53,0.2799999999999996,-1.670428015672989,21,-5.518521626053549,4.541,10.895,58.692,-2.5173840057794554,2.78,8.0,62.8,0.013299729982391
54,0.2699999999999996,-1.2332875699331978,37,-3.0262049336280623,3.869,9.089,56.416,-2.0870870510632953,2.2,7.06,59.0,0.013719168677926063
55,0.25999999999999956,-0.6086182113253651,54,-2.8861854466206953,3.673,8.883,55.447,-1.0105140427816954,2.98,6.88,52.3,0.012193358642980457
56,0.24999999999999956,-0.3344129962266998,50,-3.6408153140783788,3.808,9.504,60.625,-1.756970417504255,3.22,7.72,59.96,0.011831834940239786
57,0.23999999999999955,0.11128944135839038,66,-2.2836579289552636,3.389,8.253,62.092,-1.1660423246446592,1.66,5.46,63.06,0.010705278618261219
58,0.22999999999999954,0.5289284203634568,87,-2.151708000662616,3.451,8.214,60.473,-1.2568166736281603,2.16,6.24,58.76,0.009695978155359625
59,0.21999999999999953,0.5058659438289071,73,-2.4380207768268645,3.596,8.493,56.691,-1.4591282199756797,2.12,6.34,54.52,0.00922293686773628
60,0.20999999999999952,0.5793597081723934,128,-1.8265169733110695,3.139,7.675,53.375,-0.8596601896140799,1.88,5.4,49.8,0.008565841591916978
61,0.1999999999999995,0.41085676083693207,102,-1.9158736690127998,3.446,7.981,53.075,-0.9774784051199998,2.46,6.26,50.96,0.008466376676224172
62,0.1899999999999995,0.27198901749032434,90,-2.0083833544635166,3.433,8.052,54.227,-0.7889695338495996,2.7,6.32,51.4,0.008321980447508395
63,0.1799999999999995,0.06367396931165811,53,-3.2458242817926175,3.811,9.274,60.866,-2.077792880784179,2.98,7.78,61.58,0.0086052500968799
64,0.16999999999999948,0.02276265811128369,84,-2.233949116058222,3.479,8.422,62.786,-0.8106072421007354,3.64,7.36,61.26,0.008105203537270426
65,0.15999999999999948,0.018934870090002415,50,-2.6413306148580955,3.704,8.87,59.487,-1.8765478659112955,2.88,7.66,58.36,0.00796944173052907
66,0.14999999999999947,-0.086955828110031,42,-3.2606295826534883,3.759,9.309,58.846,-2.109499047141375,3.28,8.3,59.12,0.008329490185715258
67,0.13999999999999946,-0.20938678659092794,75,-3.0068994670888025,3.732,9.093,58.341,-1.88846292561199,2.96,7.66,57.88,0.00866692618932575
68,0.12999999999999945,-0.07752508248604906,85,-2.405907251529017,3.55,8.532,55.808,-1.7858060562890747,2.62,7.04,53.78,0.00889643139205873
69,0.11999999999999945,0.11758699755810072,94,-1.8821070633961579,3.352,8.043,57.188,-1.2933648604364805,2.68,6.82,56.68,0.009387145666405559
70,0.10999999999999946,0.12928896198492357,120,-1.4514576988846177,3.254,7.611,58.804,-1.0663115454463998,2.46,6.5,57.88,0.009124115654267372
71,0.1,0.4357222368713358,100,-1.3988023189626904,3.057,7.415,60.55,-1.1436650762239997,2.52,6.6,59.32,0.008944142581894994
72,0.1,0.5976177245676766,97,-1.243254863280541,3.262,7.482,63.056,-1.3289360877567997,2.48,6.8,63.72,0.008924376461654901
73,0.1,0.6062902305434108,108,-1.5433994197205025,3.214,7.672,65.253,-1.2626327756799995,1.78,5.92,68.2,0.008340451647527516
74,0.1,1.0771723786768745,101,-1.3821602313931673,3.418,7.737,65.549,-0.9670271268863996,2.24,6.16,68.54,0.00874055381398648
75,0.1,1.2696657953315698,105,-1.4474702414086171,3.513,7.876,65.345,-0.7397623660543993,3.02,6.8,66.64,0.008061227686703205
76,0.1,1.4077360261294114,100,-1.365053066029763,3.418,7.747,65.561,-1.3606170664960002,2.16,6.48,68.08,0.007432843670248985
77,0.1,1.2923131107211212,88,-1.3392951423693642,3.324,7.605,65.756,-1.1253385551544317,2.56,6.52,67.62,0.0068224922381341455
78,0.1,1.1995048787249971,125,-1.2109481275136924,3.265,7.433,65.883,-0.5031442271436795,3.08,6.6,66.92,0.006604132861830294
79,0.1,1.3210776798563382,120,-1.0390823382556673,2.989,7.032,66.413,-0.8069657067356159,2.34,5.94,68.28,0.006416829349473119
80,0.1,1.2269774610358979,103,-0.875687091102352,3.046,6.888,66.153,-0.5495861185740796,2.5,5.88,67.54,0.006298898453824222
81,0.1,1.2800936655999886,101,-0.7510376084340761,3.008,6.75,65.792,-0.7106032639999994,1.74,5.14,69.12,0.006123148459009826
82,0.1,1.3485225238796286,120,-0.7562247057167166,3.002,6.763,65.173,-0.3379497471999997,2.18,5.36,67.34,0.00598458684515208
83,0.1,1.2855394051012854,139,-0.5659951192576012,2.839,6.378,64.265,-0.3344604790783997,2.36,5.54,65.88,0.005566695863381028
84,0.1,1.2695396398081145,163,-0.4274445907345418,2.653,6.033,60.501,-0.5854339993599993,1.86,5.24,62.4,0.005076875658705831
85,0.1,1.1161393438404914,160,-0.48829005253738594,2.77,6.212,55.518,-0.47256934911999954,1.98,5.22,54.58,0.004786383253522217
86,0.1,1.2369974980078682,154,-0.5868353400197134,2.835,6.405,63.338,-0.24122632191999982,2.18,5.24,64.04,0.004788673352450133
87,0.1,1.3168971807444967,139,-0.5841703142260745,2.865,6.379,63.731,-0.30141228134399967,2.32,5.42,65.62,0.004427938356529921
88,0.1,1.319172427891771,152,-0.48364696648949884,2.871,6.302,54.753,-0.6739035135999997,1.66,5.1,53.62,0.004469509629998356
89,0.1,1.3922312600602,164,-0.5530859207589905,2.855,6.392,57.145,-0.5858979993599998,2.06,5.54,56.34,0.004483338135760278
90,0.1,1.4109306772300763,132,-0.5092385412700579,2.805,6.267,64.933,-0.5434814705663996,2.04,5.28,65.46,0.004327886223327368
91,0.1,1.3884061244861399,132,-0.5268107213987849,2.937,6.447,66.154,-0.6138837811199995,2.06,5.42,68.02,0.004321040138602256
92,0.1,1.2472036126301973,133,-0.5245876980124065,2.814,6.291,65.11,-0.5051853496319992,2.08,5.34,66.76,0.004041341096162796
93,0.1,1.2993987373215723,150,-0.4853646878117899,2.747,6.164,66.294,-0.6482758553599994,1.54,4.84,68.5,0.00406140950974077
94,0.1,1.2723807800246085,106,-0.5159742572298246,2.864,6.356,67.452,-0.4778972825599994,1.68,4.82,70.3,0.003916851803660392
95,0.1,1.397549769953318,124,-0.46341052320809123,2.839,6.263,67.653,0.1472822220800002,2.42,4.94,69.38,0.003930186666548252
96,0.1,1.4851679987008524,149,-0.47943801662791835,2.912,6.359,67.515,-0.2977876531199998,2.02,5.0,69.88,0.0039650815376080575
97,0.1,1.565552553652033,127,-0.3748122645737967,2.84,6.138,67.782,-0.3792657407999996,1.88,4.98,70.0,0.003871353541035205
98,0.1,1.5968295198509306,150,-0.2657636897546236,2.766,5.981,67.349,-0.4426179327999996,1.56,4.62,70.12,0.0037086970917880537
99,0.1,1.695008925465794,202,-0.04255699952762871,2.729,5.621,65.414,0.058227773440000144,1.94,4.36,65.56,0.0037045096908695997
100,0.1,1.8082115876205833,197,-0.11861373019545554,2.722,5.714,60.269,-0.5119227135999997,1.52,4.6,62.32,0.0036467212857678533
101,0.1,1.9245021401710012,198,-0.1747735403827193,2.63,5.683,57.31,-0.11110025523199972,2.12,4.94,57.54,0.0037206038716249166
102,0.1,2.0766140679863323,221,-0.1692432444796925,2.717,5.763,58.751,-0.12068370431999968,2.6,5.66,57.22,0.003870031104888767
103,0.1,2.1816911352206394,138,-0.3915297052549131,2.773,6.085,65.513,-0.05171475763199974,2.22,5.04,67.36,0.003989305258728564
104,0.1,2.096885070702829,138,-0.46096444814581883,2.789,6.153,66.293,0.05426327040000026,2.46,5.22,66.56,0.0038375743478536607
105,0.1,2.0900929004549957,155,-0.30993422489395195,2.834,6.085,55.724,-0.5427366297599996,2.02,5.38,53.9,0.0039616474648937585
106,0.1,1.9895953540716211,150,-0.4165478319259659,2.885,6.24,63.377,-0.6428415487999994,1.48,4.8,65.6,0.0038362262630835175
107,0.1,2.0808543693765977,143,-0.5901591650795526,3.045,6.623,66.521,-0.5462954225663996,2.04,5.44,68.54,0.004179021962918341
108,0.1,1.8876486624419864,116,-0.5828782083381667,2.915,6.451,65.917,-0.5067480473599995,1.96,5.22,67.72,0.004088214854709804
109,0.1,1.8160797573519822,121,-0.5760183027621899,3.049,6.589,66.576,-0.4132256036863996,2.2,5.36,68.58,0.004065592892002315
110,0.1,1.8820497596720085,152,-0.5952872839962629,2.964,6.539,66.415,-0.3012660223999999,1.96,4.94,69.18,0.0042564848903566595
111,0.1,1.794015168067581,136,-0.4809396851589129,2.848,6.281,65.446,-0.31372413951999967,2.16,5.36,66.54,0.003980360592249781
112,0.1,1.7266294520393182,147,-0.28136291792527396,2.92,6.158,62.45,-0.4662502860799998,1.86,4.96,64.0,0.003977343251463026
113,0.1,1.6682753614989836,150,-0.7066918266187807,2.823,6.465,67.498,-0.49610017587199967,2.02,5.24,69.66,0.0038999348250217734
114,0.1,1.5424127856845897,129,-0.6064552413261833,2.969,6.529,67.371,-0.2617043640319997,2.08,5.1,69.78,0.003861051823478192
115,0.1,1.4967211973025514,117,-0.6260046419906566,3.072,6.656,67.135,-0.29776384307199977,2.12,5.14,69.7,0.0038969754963181914
116,0.1,1.5154851116909205,144,-0.740438710428763,3.032,6.689,67.149,-0.8565254672383996,1.72,5.24,70.02,0.003724649588111788
117,0.1,1.5354161378507325,140,-0.5854762409410573,2.914,6.432,67.487,-0.19978614271999967,2.22,5.22,69.42,0.003718844554387033
118,0.1,1.5286337068215807,164,-0.5883812087140367,2.917,6.426,64.411,-0.19606168498175972,2.9,5.86,64.04,0.003858701230492443
119,0.1,1.5048083930566825,146,-0.6989008690745353,2.939,6.539,65.791,-0.4768174008319997,1.82,4.88,68.08,0.003836532440036535
120,0.1,1.45629803787678,177,-0.47301195170431093,2.837,6.21,60.964,-0.6575289804799996,1.86,5.26,59.08,0.003911714593414217
121,0.1,1.4806359311060104,178,-0.3003961794306049,2.864,6.086,55.589,-0.7748250009599998,1.88,5.42,55.64,0.004073236694093794
122,0.1,1.5096005650683877,179,-0.46683935532957777,2.781,6.177,63.776,-0.4588525055999996,1.84,5.04,65.06,0.003952709985896945
123,0.1,1.5797893285606155,152,-0.49760048459514045,2.864,6.266,67.19,-0.4718928691199995,1.52,4.46,70.34,0.0039639209443703294
124,0.1,1.5549904858183337,122,-0.632064899235841,2.865,6.437,67.089,-0.30406334259199985,2.14,5.18,68.58,0.003974157460033894
125,0.1,1.698657452276671,106,-0.8938489227432205,3.133,6.998,66.248,-0.7102739830783993,2.46,6.06,67.96,0.004123261233326047
126,0.1,1.607217790255243,91,-1.156948968493056,3.357,7.449,65.782,-0.9090549441740798,2.26,6.1,68.22,0.0041766858124174175
127,0.1,1.5900000242024672,108,-1.09676611169373,3.254,7.295,66.095,-0.8285909401599996,2.04,5.78,68.94,0.004285689052194357
128,0.1,1.5422759428075432,58,-1.9344478775639065,3.358,7.819,65.828,-0.9316477272063999,2.74,6.7,67.58,0.004603787632659078
129,0.1,1.5284578469798347,100,-1.4401549437392218,3.287,7.476,66.111,-0.6942891177656315,3.16,6.6,67.2,0.00468324305023998
130,0.1,1.337240553851617,112,-1.2541661594019293,3.223,7.359,66.311,-0.7637635091660796,2.42,6.02,68.56,0.004519336693920195
131,0.1,1.3357204448540339,113,-1.0032818055351518,3.032,6.98,66.867,-0.2639021110476796,2.28,5.34,69.38,0.004590849399100989
132,0.1,1.3575403369814139,126,-0.7704028985544714,3.077,6.787,67.054,-0.6211713013759994,2.02,5.4,69.58,0.004819002766162157
133,0.1,1.3899957295351484,117,-0.7804293343160743,3.141,6.829,66.935,-0.5750040499404794,2.4,5.7,68.9,0.004967038570903241
134,0.1,1.4019354606568346,135,-0.7191131246811565,2.958,6.604,67.309,-0.8290887352319999,1.44,4.88,70.68,0.004942722029518336
135,0.1,1.358718433129896,157,-0.6326238135042058,3.022,6.619,67.286,-0.15118812979199978,1.96,4.58,70.46,0.004639444104395807
136,0.1,1.3848218074819019,135,-0.6969584728039434,3.099,6.698,66.999,-0.3247988176076798,2.12,5.04,69.82,0.004603550259489566
137,0.1,1.4632557179528323,133,-0.9717885469374878,3.112,7.0,66.321,-0.7057270083583994,2.42,5.9,67.84,0.004434327003546059
138,0.1,1.6100705602304712,128,-0.9181452096954382,3.198,7.053,66.475,-0.8869430990847998,2.32,6.1,68.44,0.004461089046671986
139,0.1,1.583489931783346,92,-1.144139456164253,3.19,7.233,66.447,-0.27801909207039954,2.76,5.88,68.34,0.0044823004701174795
140,0.1,1.6171930654981865,110,-0.8801721380866481,3.299,7.14,65.555,-0.8816990060543994,2.34,6.14,67.2,0.004570276590529829
141,0.1,1.5149657931449045,156,-0.9726840445465407,3.134,7.025,61.255,-0.4912756430684155,3.12,6.44,59.54,0.0044326312351040545
142,0.1,1.5891573830489658,133,-0.8591029384487749,3.066,6.868,66.978,-0.5383503339519994,2.24,5.6,69.16,0.0044594845152460035
143,0.1,1.5112719324838497,114,-0.710976341346961,3.008,6.627,67.254,-0.44777735679999964,1.74,4.8,70.44,0.0045484236930496994
144,0.1,1.4635243410785976,139,-0.4363458441248773,2.95,6.341,67.624,-0.19490601840639976,2.34,5.34,69.3,0.00443758626235649
145,0.1,1.378567395909048,142,-0.538188967985563,2.818,6.273,67.804,-0.20959792639999986,1.96,4.84,70.2,0.004256838341243565
146,0.1,1.522423063463838,141,-0.2927932040683521,2.782,5.972,68.17,-0.022831462399999825,2.02,4.6,70.38,0.004224540481809527
147,0.1,1.4885063831634722,180,-0.33812940135424063,2.773,5.986,68.128,-0.19261747199999982,1.58,4.18,71.24,0.004015751234255731
148,0.1,1.6350111452229636,171,-0.28016005063065647,2.782,5.922,68.192,-0.10304693759999983,2.0,4.72,70.28,0.0038754758634604513
149,0.1,1.718186192604089,177,-0.3887861137895436,2.813,6.073,68.017,-0.25926570495999984,1.8,4.58,70.62,0.00370910577243194
150,0.1,1.7020211931247515,121,-0.6959711293870098,2.985,6.625,67.311,-0.5117133447167993,2.3,5.48,69.22,0.0036449178401380777
151,0.1,1.6775876679412545,102,-0.8624449125987127,3.052,6.859,66.987,-0.7512486280396794,2.32,5.92,68.76,0.0035935912188142538
152,0.1,1.7857973305161257,126,-0.8204079440916494,2.969,6.761,67.15,-0.6402123300863996,2.22,5.68,69.1,0.0036588502605445685
153,0.1,1.6769332290248884,132,-0.6703458582010273,2.974,6.607,67.308,-0.2741070489599998,2.0,5.02,69.98,0.0036546187195926907
154,0.1,1.7323921406174985,124,-0.7771737528113581,3.056,6.781,67.049,-0.6573964321996797,2.28,5.72,69.0,0.003709598039276898
155,0.1,1.5752130007747713,121,-0.7170497632284674,3.06,6.711,67.147,-0.44129523329105885,2.34,5.32,69.34,0.00379239670233801
156,0.1,1.7492759416273271,133,-0.7498542394171409,2.966,6.644,67.312,-0.7700504459263995,1.76,5.18,70.08,0.004040337800979614
