iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
1,0.8,2.755258733840175,1,-2.5028196834680467,5.871,14.081,56.986,-15.675373095439445,10.68,24.32,43.12,0.007946893405169249
2,0.79,2.688022674107887,0,-2.245663305125046,5.973,13.99,56.957,-16.36610180272743,10.54,24.46,43.0,0.007636623349972069
3,0.78,2.485481080324282,1,-2.323843969713079,6.12,14.186,56.683,-17.839416292315793,10.2,24.8,43.16,0.007954306039027869
4,0.77,2.471464033444826,2,-2.8719998848048567,6.335,14.87,55.646,-17.80622373695027,10.22,24.78,43.06,0.008348409845493733
5,0.76,2.3811811578223154,0,-3.338438204819858,6.442,15.349,55.052,-16.772756778678797,10.4,24.6,43.16,0.009020867981016636
6,0.75,2.304985085007511,0,-3.249602944686425,6.591,15.454,54.925,-17.339601083364457,10.32,24.68,43.06,0.009631132734939455
7,0.74,2.0432323853454766,0,-3.608929019562358,6.789,15.913,54.085,-16.623226953679,10.42,24.58,43.04,0.010289161847904325
8,0.73,2.0859382228133496,0,-2.8364759818416094,6.364,14.997,55.27,-6.030466634482313,7.76,18.12,51.52,0.010729511538520455
9,0.72,2.1086607556390327,0,-2.6372692876519515,6.244,14.738,55.612,-3.813418168717618,7.24,16.26,53.64,0.011150496741756798
10,0.71,2.2128545914162454,2,-2.9205348661420167,6.314,15.027,55.151,-4.181726720926413,6.9,16.08,54.12,0.0115471214056015
11,0.7,2.1386634271017826,0,-3.003414863467491,6.226,15.032,55.266,-4.460218371647815,6.84,16.18,53.98,0.011804107669740915
12,0.69,2.1298248749583237,1,-2.9853258533576383,6.159,14.947,55.39,-4.124017397466361,6.7,15.8,54.64,0.011828582715243102
13,0.6799999999999999,2.0398899046150833,2,-2.633932021189911,6.132,14.644,55.718,-4.3891074844933105,5.96,15.4,55.58,0.01181826184503734
14,0.6699999999999999,2.204867693620236,2,-2.5343155535145434,6.004,14.405,56.117,-3.48823111594173,5.54,14.38,57.2,0.011790075749158859
15,0.6599999999999999,2.210559891430963,1,-2.6677036586366056,6.093,14.597,55.803,-3.5183724332113666,6.44,15.3,55.44,0.011777876978740096
16,0.6499999999999999,2.49762497826495,1,-2.3635286000060316,6.043,14.291,56.273,-4.835148061915437,5.06,14.8,57.08,0.01192688500508666
17,0.6399999999999999,2.4415608809194347,2,-2.5760353254388084,6.03,14.456,56.109,-4.2903589940835145,5.72,14.94,56.38,0.011946071079000831
iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
18,0.63,2.6784566552123916,1,-2.3226256474955567,6.311,14.564,55.726,-4.65940939515538,6.04,15.66,55.42,0.008688835562206804
19,0.62,2.690142377907481,2,-2.827897748135053,6.311,14.982,55.288,-4.612781448469825,6.24,15.96,54.84,0.009351042509078979
20,0.61,2.524857980667623,1,-3.156280639769311,6.263,15.196,55.139,-4.404588365193591,6.4,15.92,54.76,0.009850613484159111
21,0.6,2.526024751768418,2,-2.9065368964188334,6.011,14.744,55.843,-3.3274377450742834,5.82,14.48,56.7,0.010306831588968635
