iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
22,0.59,2.492752870564473,1,-2.816577757567586,6.276,14.934,55.386,-3.8042795745029623,6.06,15.42,55.62,0.011089831339195371
23,0.58,2.337307657655871,2,-3.151451543741705,6.183,15.091,55.332,-4.097022871211589,5.32,14.8,56.8,0.011680073384195567
24,0.57,2.298463006984662,3,-2.732924938381177,6.115,14.712,55.717,-4.214266609575334,5.6,14.88,56.58,0.012697130776941776
25,0.5599999999999999,2.3751957997936977,1,-2.753789942397256,6.311,14.922,55.432,-2.8666843890529834,6.16,14.74,56.18,0.013001954043284058
26,0.5499999999999999,2.2257012075021754,2,-2.3370443404660004,5.857,14.078,56.646,-1.6490885266926347,5.46,12.66,58.82,0.012844372261315583
27,0.5399999999999999,2.4382609663315336,4,-1.9894872592289303,6.038,14.001,56.515,-2.658140884520809,4.32,12.24,60.48,0.012897676350548863
28,0.5299999999999999,2.6026831695195694,4,-2.3295423784953844,5.892,14.117,56.581,-2.0666903256467966,5.86,13.18,58.12,0.012926449365913868
29,0.5199999999999999,2.3142769086191066,3,-1.9159449893188247,5.674,13.501,57.483,-1.642465013721588,4.5,11.44,61.18,0.012602070225402712
30,0.5099999999999999,2.655491767044078,7,-1.9047744501761021,5.617,13.43,57.58,-2.1340995898087103,4.1,11.32,61.56,0.012606680383905769
31,0.4999999999999999,2.6965846596716814,2,-1.7496537553922595,5.717,13.366,57.523,-1.6459229910271356,5.44,12.2,59.36,0.012378162872046232
32,0.4899999999999999,2.605938228707494,4,-1.918391463832295,5.649,13.443,57.536,-1.7946240488214702,4.58,11.62,60.66,0.011829542126506568
33,0.47999999999999987,2.5230756579916944,4,-1.8770688698844271,5.642,13.422,57.604,-2.1067503094308098,5.16,12.36,59.3,0.011949476283043624
34,0.46999999999999986,2.430943249081098,4,-1.8698818911042716,5.525,13.247,57.846,-0.7959226519053263,3.82,9.64,63.58,0.011765961656346918
35,0.45999999999999985,2.3143692023289106,6,-1.6612750524384627,5.563,13.091,57.934,-1.395476106963531,4.5,11.2,61.32,0.01157354548573494
36,0.44999999999999984,2.360566375792677,5,-1.6334877317242074,5.516,13.016,58.082,-1.6771665391832848,4.22,11.12,61.66,0.01135188426822424
37,0.43999999999999984,2.3403515690258327,3,-1.910700896432323,5.48,13.252,57.889,-0.6011596081719571,5.38,11.54,60.08,0.011295492323115467
38,0.4299999999999998,2.4893689662924894,3,-1.82517173786692,5.793,13.548,57.22,-1.8898501960219232,3.74,10.7,62.48,0.011785416156053543
39,0.4199999999999998,2.3330859417558325,6,-2.0278021370437056,5.707,13.62,57.27,-1.6158517517042115,5.42,12.32,59.2,0.01185207299888134
40,0.4099999999999998,2.407072615051402,5,-1.7145729877696905,6.012,13.661,56.895,-2.214768837487369,4.82,12.4,59.58,0.012060460010543466
41,0.3999999999999998,2.196281886990451,3,-2.3081734053947107,6.034,14.22,56.308,-1.950861074973792,5.84,13.1,57.42,0.012150594582781196
42,0.3899999999999998,2.224850986880852,2,-2.271606207423666,6.004,14.187,56.37,-1.9708447471949346,5.4,13.1,58.32,0.012378007248044014
43,0.3799999999999998,2.1028893902815273,2,-2.2071740098884254,6.064,14.181,56.276,-2.1411881724304673,5.12,12.7,58.9,0.01268944913521409
44,0.3699999999999998,1.9298484774027347,4,-1.9929465734029599,5.544,13.382,57.617,-1.495562000641983,4.58,11.56,60.76,0.012724530659615993
45,0.35999999999999976,2.055795156024084,5,-1.730532302696916,5.547,13.127,57.717,-1.8208319067194896,3.62,10.7,61.56,0.012964436635375023
46,0.34999999999999976,2.005004042307554,3,-1.5649680972127893,5.609,13.064,57.705,-0.9672057862790172,4.94,11.54,59.98,0.012899869717657567
47,0.33999999999999975,2.3577275167071634,10,-1.4193832055558866,5.274,12.529,58.507,-0.8186493045751558,4.8,11.04,60.02,0.012928564110770821
48,0.32999999999999974,2.4299219444989055,16,-1.3723602714384286,5.118,12.283,59.042,-1.2511689729443194,4.0,10.5,61.64,0.01272244967520237
49,0.31999999999999973,2.5090507642781374,8,-1.4546647393403098,5.257,12.521,58.816,-1.179605496249614,4.24,10.8,61.88,0.012380752554163337
50,0.3099999999999997,2.7686341990684737,13,-1.2932617638504442,5.154,12.209,58.911,-1.3179219835585814,4.02,10.76,61.62,0.012412320207804441
51,0.2999999999999997,2.9565552262280135,20,-0.956955939576188,4.764,11.341,59.032,-0.9461925948200683,3.66,9.52,58.78,0.01217658923007548
52,0.2899999999999997,2.9208221251996127,23,-1.1020385586272383,4.688,11.359,58.407,-1.150549945611051,3.96,10.48,59.42,0.011812312053516507
53,0.2799999999999997,2.825911028214521,23,-1.186674612529244,4.614,11.371,57.911,-1.0743245659348881,4.3,10.6,57.34,0.011477238433435559
54,0.2699999999999997,2.694166193620786,29,-0.8631538874026141,4.57,10.933,58.139,-0.6655164967859486,3.86,9.76,58.04,0.010854794261977076
55,0.2599999999999997,2.5476936630827405,28,-0.8836526966780744,4.567,10.973,59.473,-0.4872891158945252,4.22,9.94,59.2,0.010517798010259866
56,0.24999999999999967,2.494125735497836,22,-0.7866309112779961,4.686,11.043,59.854,-0.5759434266322451,3.86,9.52,60.36,0.010399319054558874
57,0.23999999999999966,2.411528676052131,4,-1.4638166711540255,5.249,12.468,58.04,-1.3079015741066842,4.66,11.56,58.28,0.010409217048436403
58,0.22999999999999965,2.4283709636101243,2,-1.83171474477347,5.648,13.292,55.644,-1.9912555659136029,5.54,13.28,54.86,0.010680735828354954
59,0.21999999999999964,2.343267790654531,11,-1.1173914828397462,5.013,11.906,55.327,-0.854194311878533,4.98,11.56,53.08,0.010458783134818078
60,0.20999999999999963,2.434667904895809,17,-1.0801153223285027,4.911,11.717,53.797,-0.8912221623947856,5.14,11.74,50.54,0.010859249960631132
61,0.2,2.515679253302904,11,-1.1771351772816205,4.942,11.832,55.163,-1.3124683604951768,4.36,11.22,52.96,0.011112780068069697
62,0.2,2.4487935160082386,22,-0.8883928202067013,4.777,11.302,59.361,-0.6698844992735649,4.68,10.94,58.48,0.011076276386156679
63,0.2,2.512305912502813,17,-0.9251253968455255,4.719,11.276,60.26,-0.47804335012107096,4.54,10.3,61.16,0.011125521538779139
64,0.2,2.5213806848256,14,-0.9521499459291342,4.738,11.358,60.444,-0.5190327814409601,4.56,10.48,61.62,0.010971717918291688
65,0.2,2.646890156955346,21,-0.8973357341134767,4.758,11.281,60.62,-0.5677161311354535,4.22,9.96,62.72,0.011010854672640562
66,0.2,2.6361724969095772,23,-0.7889387836616627,4.632,10.98,61.097,-0.7521396174501949,4.38,10.36,62.16,0.010650498615577817
67,0.2,2.4941789840930464,35,-0.758998251789944,4.098,10.197,62.443,-0.7122350136760468,3.06,8.46,65.46,0.009797197324223817
68,0.2,2.78394196062663,30,-0.3333494824837212,4.382,10.081,62.255,-0.10947507989708644,3.54,8.44,64.86,0.009809354152530432
69,0.2,2.731011446014422,39,-0.40409219532991864,4.313,10.064,62.327,-0.26869334399768063,3.62,8.74,64.36,0.009083822788670658
70,0.2,2.8917674544805863,36,-0.3950013554347429,4.23,9.928,62.573,-0.10754440181732558,3.42,8.14,65.38,0.009075128026306629
71,0.2,2.746146118937303,38,-0.4010258975709213,4.167,9.853,62.447,-0.016660753726153388,3.34,8.0,64.86,0.008521796106360852
72,0.2,2.801793434407562,24,-0.36219990169227684,4.284,9.997,61.195,-0.002583094808778106,3.52,8.22,63.46,0.008413383904844522
73,0.2,2.9181453701307345,28,-0.3510626889059954,4.317,10.041,58.994,-0.24487526627337822,3.52,8.72,57.98,0.008395296246744692
74,0.2,3.125869507015,25,-0.24860639170583373,4.375,9.989,60.264,-0.7366159115018369,3.38,9.04,60.52,0.008362078331410885
75,0.2,3.2621465907267946,32,-0.34698206646748286,4.224,9.871,61.551,-0.7297833428398007,3.44,9.16,63.18,0.008272897484712303
76,0.2,3.0563079807426288,37,-0.48113549107404213,3.992,9.698,56.32,-0.19743847558855132,4.26,9.66,53.68,0.00804354263935238
77,0.2,2.9771645680289143,49,-0.27737150268423516,4.234,9.801,55.633,-0.3757064797161845,3.8,9.28,52.62,0.00798586037941277
78,0.2,2.8337254065336794,24,-0.49990855766273185,4.351,10.22,61.611,-0.6149195885424312,3.82,9.56,62.4,0.007643540478311479
79,0.2,2.8265313864893558,12,-0.5229575790586647,4.358,10.288,61.97,-0.20308258500161563,4.08,9.38,63.08,0.0075566852930933235
80,0.2,2.8633093937643017,8,-1.1821430219871387,5.063,12.055,58.831,-0.9747800606159405,4.92,11.7,58.96,0.007980368519201874
81,0.2,2.739469131907481,4,-1.1092852711234673,5.198,12.164,56.404,-1.8854272981448645,4.86,12.58,54.62,0.007781180217862129
82,0.2,2.6853170852979957,25,-0.5360619623624195,4.436,10.448,58.434,-0.690552522171312,3.9,9.94,59.18,0.007540880125015974
83,0.2,2.436009160270677,27,-0.503296085221952,4.43,10.347,61.125,-0.5563743913380045,3.48,8.98,62.8,0.007476224284619093
84,0.2,2.444804621104606,33,-0.4761591444264534,4.309,10.157,61.594,-0.08468934111538243,4.04,9.32,62.18,0.007341059981845319
85,0.2,2.5105751934671976,30,-0.3137476693015794,4.316,9.97,62.093,-0.12497461163264814,3.76,8.84,63.88,0.007164389062672853
86,0.2,2.722580787717542,32,-0.40879819328164435,4.327,10.097,62.166,-0.0049759722227774,3.94,8.98,63.72,0.007227843226864934
87,0.2,2.72988873822539,25,-0.47286515274410085,4.196,9.973,61.769,-0.017901629706629105,3.84,8.8,63.12,0.0071894591208547355
88,0.2,2.9200951633058563,26,-0.2737107840261502,4.31,9.905,60.453,-0.42285516609440177,3.6,9.02,61.14,0.007038115719333291
89,0.2,2.931298685133027,47,-0.2260133035810473,3.944,9.297,55.108,-0.22287192851877755,3.68,8.96,51.48,0.006941405511461198
90,0.2,2.9832665354283683,38,-0.12704058383612038,4.042,9.316,60.893,0.09480854232830735,3.72,8.48,60.16,0.006792003442533314
91,0.2,3.0932268940285548,44,-0.09179984594778942,4.207,9.498,61.506,0.0013640914890452561,4.04,9.1,60.76,0.006723411744460463
92,0.2,3.1095496920693186,42,-0.26888045660685267,4.225,9.733,62.583,-0.2382998968815352,3.64,8.66,64.2,0.00667701920028776
93,0.2,3.216179362231948,45,-0.09004134061507993,4.068,9.326,60.845,0.014296767651943708,3.48,8.18,60.98,0.00683814771939069
94,0.2,3.1209184541634025,49,-0.13671403327115314,3.895,9.077,55.732,-0.2493948364903338,3.64,8.8,52.96,0.006785795213654637
95,0.2,2.975976561446156,76,-0.1587344100376974,3.834,8.995,54.303,-0.3910774439331924,3.0,7.94,51.8,0.006607567127794027
96,0.2,3.1675419195964882,37,-0.02873235152277062,3.882,8.898,60.197,-0.48233272342107936,2.88,7.92,59.34,0.006578643182292581
97,0.2,3.194045386010718,41,-0.07409306777173198,4.338,9.693,62.534,-0.1325945044773074,3.14,7.86,65.62,0.006650454173795879
98,0.2,3.0994899829064146,38,-0.16104166663425276,4.048,9.345,62.766,-0.2740869757112472,2.86,7.66,65.88,0.006539726401679218
99,0.2,3.1117518171995013,35,-0.1414022242443807,4.042,9.327,60.008,-0.3424776617806428,3.26,8.32,60.12,0.006534996111877262
100,0.2,3.040972730327387,40,-0.22405401461070487,4.19,9.644,57.932,0.09115684786901664,4.58,9.78,56.72,0.006412021168507635
101,0.2,2.9347418035980266,28,-0.39527604067106553,4.271,10.006,57.795,-0.8289356008400038,3.7,9.74,56.82,0.00630887649487704
102,0.2,2.716909323694372,6,-0.9543943112109644,4.992,11.688,59.884,0.23281940955609629,6.02,11.88,58.72,0.0061759768892079596
103,0.2,2.8642979026247892,6,-1.526513899851721,5.448,12.828,58.289,-1.4620274931513932,5.46,12.78,58.2,0.006549430591985583
104,0.2,2.673094412619531,14,-0.8968473363392802,4.796,11.35,60.176,-1.102056012224898,4.24,10.92,61.06,0.006518636224791407
105,0.2,2.527995208123063,24,-0.29644699014981146,4.247,9.85,62.108,-0.47747143756256677,3.26,8.46,63.92,0.006354075004346669
106,0.2,2.6355754744965103,37,-0.19493264522059797,4.017,9.309,62.999,-0.47169234228256746,2.78,7.72,65.36,0.006532382899895311
107,0.2,2.7552976863984577,34,-0.32553464772928564,3.977,9.468,62.821,-0.15490753261470716,2.9,7.5,65.9,0.006503665875643491
108,0.2,2.7468602152647894,37,-0.1678631681323101,4.009,9.309,62.265,-0.17197608274368748,3.3,8.3,62.98,0.0064399852510541675
109,0.2,3.0440413582680543,48,-0.019865564885993784,3.88,8.887,61.741,-0.08121685838618145,3.2,7.88,62.92,0.0066455937922000885
110,0.2,3.058271745109445,23,-0.27306146502335477,3.99,9.438,59.463,0.5082249521653526,4.62,9.3,57.68,0.006433750800788403
111,0.2,3.09498928813186,32,-0.3686721655113541,4.023,9.632,62.567,-0.5168386972300644,3.44,8.92,63.62,0.006172505165450275
112,0.2,3.1109129519148815,10,-0.6067045943826423,4.575,10.706,61.291,-0.7307773644422979,3.8,9.8,62.9,0.0061444573756307365
113,0.2,2.9468008841301443,11,-0.611935489385246,4.49,10.597,61.535,-0.43982673073122297,4.02,9.62,63.06,0.005998421935364604
114,0.2,2.83519437229119,10,-0.6541541291408456,4.796,11.075,60.649,-1.2780435991859145,3.76,10.4,62.36,0.005939801265485585
115,0.2,2.8185799719033313,19,-0.7624601621540247,4.439,10.759,60.194,0.16632433158497265,4.7,9.9,60.0,0.0060819438938051465
116,0.2,2.7217241357192044,3,-1.8579375290951108,5.518,13.254,58.005,-1.7048670241323804,5.74,13.52,57.38,0.0063341504894196985
117,0.2,2.606035831554674,0,-3.1292125745946495,6.446,15.126,55.429,-4.873757290490752,6.26,16.14,55.02,0.006738646393641829
118,0.2,2.785746106790952,10,-0.6995434036143275,4.376,10.584,57.467,-0.829050275779815,3.9,10.04,57.42,0.006979167554527521
119,0.2,2.700960012280746,7,-1.660516246405605,5.453,13.029,57.797,-0.9641101127679744,5.44,12.32,58.26,0.007260607271455229
120,0.2,2.7587837914736903,9,-1.164205605654829,4.881,11.8,57.734,-0.17799543603400175,5.38,11.36,55.44,0.0074410149455070495
121,0.2,2.88033905547995,9,-1.0055776144007964,4.735,11.44,56.553,-0.9407798176900724,4.68,11.28,55.22,0.0076801007334142924
122,0.2,2.713538025887007,7,-1.0240624578368165,4.728,11.438,53.997,-1.0432777095860368,4.04,10.5,53.16,0.007815608424134552
123,0.2,2.656858154374073,5,-1.4254012192541479,5.121,12.406,56.772,-1.5835071503045,4.7,12.12,56.78,0.007976594604551792
124,0.2,2.820260669624854,10,-0.7870322500079322,4.77,11.256,57.511,-0.7405750203176565,4.6,10.96,56.1,0.007908699964173139
125,0.2,2.725327610702315,10,-1.516154408270667,4.985,12.294,57.243,-0.9132805530619058,5.44,12.22,56.3,0.007870127903297544
126,0.2,2.472261863740697,5,-1.634690832332044,5.081,12.525,56.597,-2.0519954192892045,4.52,12.34,54.82,0.007910316013731062
127,0.2,2.578916743031153,0,-2.1122165449469366,5.681,13.676,54.969,-1.3776450012144443,6.44,13.78,54.12,0.007895566578954459
128,0.2,2.6003275269905752,15,-0.9622447559095182,4.674,11.288,57.766,-1.0017563253213515,4.48,10.98,57.9,0.008037495906464756
129,0.2,2.6909778564005875,18,-0.839128019818438,4.79,11.301,58.978,-0.12395029658194083,5.28,11.08,57.98,0.00792995491065085
130,0.2,2.6492718947102074,8,-1.017506446841304,4.862,11.601,58.872,-1.4478139515666577,4.0,10.78,59.72,0.007771771932020784
131,0.2,2.6547362049210834,9,-0.9953018537788025,4.948,11.68,58.904,-0.5816804297144097,4.76,10.9,59.76,0.00767734014429152
132,0.2,2.9105169924943626,16,-0.7545171490997435,4.553,10.882,60.397,-0.3604998802594338,4.26,10.06,61.2,0.007781697767786682
133,0.2,2.835825689049557,14,-0.9742450994943623,4.767,11.394,60.12,-1.0542788037120643,4.36,10.8,60.92,0.007601232104934752
134,0.2,2.8859181098484905,19,-0.8515339961295274,4.751,11.267,60.313,-0.9406096708524926,3.96,10.24,62.22,0.007611492769792676
135,0.2,3.0893402111024457,14,-0.9427669826831672,4.919,11.579,59.904,-0.7624341402105793,4.64,10.9,60.38,0.007850209777243435
136,0.2,3.049425948769245,12,-0.9179325769127562,4.917,11.539,59.711,-1.1709815910597827,3.72,10.18,62.44,0.00789398144930601
137,0.2,2.9947617815531236,6,-1.2460084768985413,4.759,11.738,54.885,-1.6190385485554506,4.04,11.24,53.08,0.00800697460770607
138,0.2,3.044248112849958,14,-1.4225984345445786,4.77,11.889,50.316,-1.6196187792566246,4.06,11.24,46.7,0.008134224014356732
139,0.2,2.781730328723202,17,-1.0026451081568661,4.386,10.936,55.528,-0.44863389232534345,4.22,10.14,52.86,0.008113631838932633
140,0.2,2.8031032033541647,16,-1.1347755444476109,5.074,11.957,57.628,-0.7716993668249887,4.56,10.84,58.24,0.008270613849163055
141,0.2,2.9387090211062996,10,-1.0761658710591409,4.759,11.462,59.116,-0.4014470280183172,4.62,10.56,59.92,0.008390287151560188
142,0.2,2.9557270636694355,19,-0.926712054855549,4.714,11.289,59.517,-0.5410072298258622,3.82,9.58,61.54,0.008248586673289537
143,0.2,2.7714901383748085,9,-1.7509797666346842,5.483,13.06,57.11,-0.9002278074356721,4.94,11.54,58.76,0.008327695946209133
144,0.2,2.6589345896768193,14,-2.122512631646431,5.642,13.567,56.606,-2.5740693727747397,4.96,13.1,57.58,0.00857728574424982
145,0.2,2.7265120535015517,7,-1.9208568331888378,5.727,13.499,57.09,-1.79055416865977,5.3,12.78,58.24,0.008831437285989523
146,0.2,2.7341287911270347,16,-1.125402853872556,4.871,11.714,59.627,-1.0807058678159622,3.86,10.34,61.94,0.008892735075205565
147,0.2,2.9110531375306516,16,-1.0677136332187016,5.009,11.814,59.473,-0.6724547492987366,4.54,10.66,61.04,0.009144923705607653
148,0.2,2.6573059482533057,15,-0.8258655742013233,4.529,10.904,61.017,-0.8011204696679302,3.5,9.5,63.3,0.008894812413491309
149,0.2,2.774643357231333,21,-0.6711633794124677,4.492,10.669,61.298,-0.5325149877444947,4.2,9.92,61.98,0.008922916990704834
150,0.2,2.61196420123174,22,-0.6482046740704853,4.269,10.351,61.915,-0.14678451363219147,3.8,8.84,63.9,0.008889457299374045
151,0.2,2.7415347232070464,21,-0.5371280056928508,4.577,10.625,61.307,-0.37093830311621345,3.9,9.38,63.42,0.008600382152944803
152,0.2,2.915032951501359,28,-0.7961132780545339,4.544,10.917,60.666,-0.7902857618669819,3.66,9.5,62.62,0.008116204128600656
153,0.2,2.9955186623275565,16,-0.5711927417046287,4.867,11.04,59.52,-0.39897202051523506,4.52,10.38,59.84,0.0077557347202673555
154,0.2,2.9842890350721043,13,-0.8615884600255956,4.699,11.158,59.403,-1.0104914038316977,4.42,10.74,59.74,0.0077364546386525035
155,0.2,3.0341436456138933,20,-1.8227503104483342,5.333,12.875,57.081,-1.3135462478945394,4.8,11.62,58.18,0.00798879639711231
156,0.2,2.856883842601142,2,-3.368638385236392,6.272,15.052,54.104,-4.435282433548392,5.72,15.04,53.8,0.008557234210893511
157,0.2,2.7751256355762814,11,-1.6882628833344144,5.483,12.889,57.351,-1.5473964728695935,4.8,12.0,58.66,0.00887789147440344
158,0.2,2.914147943045814,24,-1.071047335598793,5.081,11.908,58.875,-0.7179289403910096,4.58,10.68,60.16,0.00935526049695909
159,0.2,2.7293377154076714,15,-1.0381131796619585,4.839,11.584,57.941,-0.6554755073780936,5.16,11.62,55.9,0.009320946563966571
160,0.2,2.6142065711759797,24,-1.2663362224059562,4.683,11.63,58.315,-0.7001644198311435,4.64,10.9,58.18,0.009455147041007876
161,0.2,2.5720852250384167,22,-0.746982627696581,4.678,11.048,59.897,-0.6735583824573481,4.4,10.48,60.54,0.00950300820171833
162,0.2,2.608421564517099,27,-0.4536524910791443,4.296,10.169,60.627,-0.01566456159811251,4.02,9.18,61.32,0.00914591726846993
163,0.2,2.7920505505355306,22,-0.43901867490362567,4.157,9.908,59.971,0.624389712022732,4.44,8.94,59.18,0.00867355830501765
164,0.2,2.806509538179869,41,-0.23346153050198518,3.96,9.337,59.812,-0.8137523896121216,2.6,7.94,60.8,0.008046523611992597
165,0.2,2.7869794948408937,41,-0.09153480878614613,4.125,9.403,60.434,0.06644982842693888,3.1,7.48,62.12,0.007604814539663493
166,0.2,2.75602756332202,39,-0.27316652512186324,4.14,9.665,60.266,-0.026498311968038167,3.54,8.36,61.08,0.0069705788651481275
167,0.2,2.801068632035876,36,-0.24646535186102408,4.124,9.63,60.348,-0.10114537684435859,4.0,9.22,58.98,0.0067192150978371504
168,0.2,3.017355985055346,34,-0.3150067897658841,4.163,9.776,60.359,-0.08413642035045225,3.66,8.62,60.2,0.00655233490280807
169,0.2,2.8786062940366612,16,-0.5648852317615151,4.208,10.14,59.675,-0.04334709737167401,3.94,9.02,59.16,0.006279371790587902
170,0.2,2.856492973203556,33,-0.4597647394722469,4.198,9.992,60.369,-0.7507707406874244,3.26,8.84,61.22,0.006219315128400921
171,0.2,2.8600147470637003,31,-0.3811815652195428,4.259,9.994,60.041,-0.3435308267336152,3.86,9.38,59.82,0.006329983407631516
172,0.2,2.8704721300558207,40,-0.41644132509732507,4.203,9.952,58.403,-0.6653731375457121,3.7,9.28,57.84,0.0062098557502031325
173,0.2,2.894295711274864,24,-0.5811785910306746,4.562,10.698,60.008,-0.11069562535775772,4.42,9.86,60.94,0.006457871911115944
174,0.2,2.840231967382742,36,-0.5425151020408998,4.231,10.16,56.362,-0.1555738796561693,4.08,9.48,54.72,0.006679574251174927
175,0.2,2.9393523406546156,28,-0.4749865400562667,4.441,10.401,60.942,-1.0943993188368344,3.14,9.18,62.56,0.006677998099476099
176,0.2,2.966989901421243,21,-0.6087590204393168,4.636,10.801,58.21,-0.7411406342216287,3.96,9.98,57.06,0.006812665164470672
177,0.2,3.153050425342116,24,-0.8235006553413858,4.807,11.308,58.035,-0.6115980265959547,4.62,10.7,56.5,0.00720695068128407
178,0.2,3.099067122016456,31,-0.2843901314325126,4.196,9.773,62.133,-0.583651823601155,3.3,8.68,63.6,0.007063749954104423
179,0.2,3.1874920755821927,31,-0.4132598854441972,4.307,10.114,61.494,-0.31554053360430534,3.72,9.04,62.68,0.007077553602866829
180,0.2,3.0836051209072073,19,-0.18714684400385168,4.358,9.855,61.243,-0.007575731189913703,3.96,8.84,61.2,0.006984701426699757
181,0.2,3.0702945687124448,14,-0.8027540887701515,4.529,10.804,60.55,-1.0212478356295938,3.96,10.22,60.82,0.006859047417528927
182,0.2,2.9228238393640664,4,-1.072588634582188,5.134,11.857,58.127,-1.5828888206803564,4.64,11.56,57.54,0.006737135769799352
183,0.2,2.7895387601178765,6,-1.2849116907134128,5.034,11.911,58.49,-1.6929139454448434,3.72,10.66,60.34,0.0068621669057756665
184,0.2,2.6986340774854676,21,-0.7060136563832801,4.359,10.521,60.74,-0.7105015369544553,3.74,9.6,62.16,0.006694979616440833
185,0.2,2.563034970382534,28,-0.6273761626094528,4.375,10.445,61.007,-0.6116353364253583,3.06,8.34,63.98,0.006545323813334107
186,0.2,2.5244551085284033,46,-0.43209076408163627,4.262,10.014,59.668,0.16020404116118872,3.92,8.84,60.02,0.0065800641616806385
187,0.2,2.4411727554450247,29,-0.7248354805475049,4.354,10.551,60.496,-0.3639308477884387,3.9,9.28,62.08,0.006685665110126138
188,0.2,2.5453771841532187,36,-0.3706556078173904,4.145,9.81,59.451,-0.07508254781632186,4.32,9.62,57.76,0.006801610509864986
189,0.2,2.8702648982805217,30,-0.29412398273084084,4.114,9.623,62.287,0.4689543692707504,4.4,8.96,62.74,0.006989000318571925
190,0.2,3.1188591405894206,36,-0.5098593534052361,4.464,10.449,61.405,-0.6505098142061815,3.7,9.22,63.46,0.006967456238344312
191,0.2,3.0409863230954857,19,-0.6614643243377244,4.776,11.024,60.747,-0.7163959750987443,3.82,9.78,62.96,0.006812087376601994
192,0.2,3.062512949224869,19,-1.1730052034026046,4.941,11.817,59.812,-1.4376831602377345,3.74,10.58,62.34,0.00719760347623378
193,0.2,3.0147723388687924,14,-1.6292214560621987,5.252,12.664,58.71,-1.2970161266820046,4.9,11.72,60.0,0.0074736929079517725
194,0.2,3.1847963041218117,25,-1.1112710772410366,5.124,11.977,59.242,-1.2853546868718866,4.68,11.44,60.18,0.007867885786108673
195,0.2,3.086895253467753,23,-1.0251435405248042,4.749,11.406,60.098,-1.1775487788619807,3.34,9.64,63.16,0.008018407244235278
196,0.2,3.1230569931924204,34,-0.615339106144942,4.553,10.614,61.223,-0.6175920314495361,3.7,9.32,63.3,0.00809441452845931
